AQW00061705       11343C
USC00453226        2521R
USC00453284        2345R
USC00453320        1703S
USC00453333        2358S
USC00453515        2418S
USC00453529        2912R
USC00453546        3086S
USC00453730        1729S
USC00453826        1720R
USC00453883        3447S
USC00454154        3621S
USC00454169        2630S
USC00454338        2923S
USC00454486        2075S
USC00454572        2788S
USC00454679        2885S
USC00454748        1571S
USC00454764        1615R
USC00454769        2594S
USC00455133        2327S
USC00455224        2133S
USC00455231        3350R
USC00455326        2970R
USC00455525        2359S
USC00455659        2409R
USC00455678        2118R
USC00455688        2871R
USC00455704        1945S
USC00455840        2098S
USC00455844        2232R
USC00455946        2895S
USC00456011        2452R
USC00456039        2932R
USC00456096        1819S
USC00456215        2730R
USC00456262        2411S
USC00456295        1990S
USC00456534        2246C
USC00456610        2585R
USC00456624        1497R
USC00456678        1952R
USC00456747        3837R
USC00456768        3449R
USC00456789        2325S
USC00456803        2637R
USC00456846        2390R
USC00456880        3095S
USC00456898         920R
USC00456914        1962C
USC00456974        2180S
USC00457015        3331S
USC00457059        2652C
USC00457180        2387R
USC00457185        2106S
USC00457267        2671S
USC00457319        1918R
USC00457342        2291R
USC00457507        2205S
USC00457522        3064R
USC00457544        1699S
USC00457584        2356R
USC00457657        1855Q
USC00457696        2450R
USC00457727        3482R
USC00457773        2250S
USC00457941        2256R
USC00458034        2332S
USC00458059        2536S
USC00458207        3483S
USC00458278        2595R
USC00458520        2893R
USC00458715        1879S
USC00458773        2586S
USC00458959        3396S
USC00459012        2366R
USC00459058        2541R
USC00459074        3312S
USC00459079        3109R
USC00459200        3150S
USC00459238        2445S
USC00459376        2685S
USC00459455        3195Q
USC00459463        3287R
USC00460102        3695Q
USC00460202        3838R
USC00460355        3205R
USC00460509        2586R
USC00460527        2586S
USC00460580        2901S
USC00460633        3341R
USC00460925        3307R
USC00460939        3875R
USC00461215        3107S
USC00461220        3543S
USC00461290        3316Q
USC00461324        3484R
USC00461330        3681R
USC00461393        2671R
USC00461397        2349R
USC00461579        3948R
USC00461677        3611S
USC00461723        4045R
USC00461900        2653Q
USC00462054        3678R
USC00462211        2275Q
USC00462462        3739Q
USC00462522        3828R
USC00462697        3924Q
USC00462709        3813R
USC00462920        3771S
USC00463072        3051R
USC00463215        3605R
USC00463251        2739Q
USC00463361        3962S
USC00463464        2498R
USC00463544        3963S
USC00463648        3823Q
USC00463798        3318R
USC00463846        4182R
USC00463940        3671Q
USC00464200        3973S
USC00464397        4321R
USC00464763        3597R
USC00464840        3648R
USC00464956        3244R
USC00464971        2531Q
USC00465224        3220R
USC00465353        4428R
USC00465365        4280S
USC00465453        3390Q
USC00465563        4288S
USC00465626        3353S
USC00465672        3037R
USC00465706        3704Q
USC00465739        3454R
USC00465875        2568R
USC00465963        3540S
USC00466163        3786S
USC00466212        3552S
USC00466248        3703R
USC00466284        3269Q
USC00466325        3750R
USC00466442        3411R
USC00466591        3401S
USC00466600        3687R
USC00466867        3227S
USC00466912        4011Q
USC00466952        3783R
USC00466982        3674Q
USC00466989        2831R
USC00467018        3499R
USC00467029        3790S
USC00467372        3651Q
USC00467513        2896R
USC00467552        4102S
USC00467649        3191R
USC00467730        3726S
USC00467785        3346S
USC00467918        3629R
USC00468051        2883R
USC00468308        1688S
USC00468351        3575R
USC00468384        3674S
USC00468522        3699Q
USC00468589        3455Q
USC00468614        3212R
USC00468662        3767R
USC00468777        2842S
USC00468986        3331R
USC00469011        3615R
USC00469049        3732Q
USC00469281        3593S
USC00469333        3661R
USC00469336        3579R
USC00469436        3714R
USC00469458        3756R
USC00469482        3709R
USC00469522        3373S
USC00469610        4528R
USC00469683        4111S
USC00470045        3047R
USC00470124        3101S
USC00470175        2625R
USC00470239        2155R
USC00470265        2779S
USC00470273        2945S
USC00470287        2963Q
USC00470308        2665R
USC00470347        2197Q
USC00470349        2225R
USC00470382        2597Q
USC00470516        2846R
USC00470603        2072R
USC00470645        2829S
USC00470696        3084S
USC00470742        2698Q
USC00470773        2500R
USC00470882        2621S
USC00470904        2664S
USC00470991        2270R
USC00471044        2475R
USC00471062        2790Q
USC00471064        2528R
USC00471078        3004S
USC00471131        2174R
USC00471205        2749R
USC00471249        2064R
USC00471280        2817R
USC00471416        2975S
USC00471568        2708S
USC00471605        2234Q
USC00471667        2934Q
USC00471676        2553S
USC00471840        2735Q
USC00471847        2345S
USC00471897        2392R
USC00471923        2498S
USC00471970        2980R
USC00471978        2461S
USC00472001        2892R
USC00472055        2398Q
USC00472165        3075R
USC00472173        2746R
USC00472240        2290R
USC00472279        2824Q
USC00472314        2295R
USC00472556        2829R
USC00472626        2332Q
USC00472826        2044R
USC00472839        2637S
USC00472851        2150Q
USC00472869        2979S
USC00472889        2248R
USC00472973        2726Q
USC00473022        2831R
USC00473038        3231S
USC00473058        2641S
USC00473116        2454Q
USC00473174        2128R
USC00473186        2350S
USC00473268        2562Q
USC00473271        2622Q
USC00473332        1873S
USC00473391        2787Q
USC00473405        2709R
USC00473453        2651S
USC00473471        2561R
USC00473511        2720R
USC00473654        2849S
USC00473661        2610Q
USC00473698        2476R
USC00473702        2440Q
USC00473756        2774R
USC00473800        2146R
USC00473820        2775Q
USC00474080        2341S
USC00474108        3035Q
USC00474174        2719S
USC00474195        2117R
USC00474373        2677Q
USC00474391        2357Q
USC00474457        3235R
USC00474482        2985R
USC00474523        2230R
USC00474530        2148Q
USC00474546        2765S
USC00474582        1907S
USC00474790        2871Q
USC00474829        2127R
USC00474894        2679S
USC00474937        3251S
USC00474953        2093S
USC00475017        2334R
USC00475091        2481R
USC00475096        2599Q
USC00475120        2626S
USC00475164        2553S
USC00475178        2777R
USC00475189        2958Q
USC00475255        2358S
USC00475286        2147S
USC00475335        2678C
USC00475364        2359S
USC00475474        3089S
USC00475516        1954R
USC00475525        2335R
USC00475563        2916S
USC00475573        3161Q
USC00475581        2758R
USC00475786        2868S
USC00475808        2480S
USC00475863        2234R
USC00475932        2594S
USC00476122        2057R
USC00476200        2893S
USC00476208        2406S
USC00476330        2848R
USC00476357        2301S
USC00476380        2879Q
USC00476398        2162R
USC00476413        2129R
USC00476510        2199Q
USC00476646        2967S
USC00476678        2655S
USC00476718        2935S
USC00476764        2437S
USC00476772        1969R
USC00476827        3134S
USC00476838        2952R
USC00476859        2251S
USC00476922        2634S
USC00476939        2073R
USC00477052        3004R
USC00477092        2136S
USC00477113        2334S
USC00477132        2530S
USC00477142        2092Q
USC00477158        2855S
USC00477174        2408S
USC00477209        2586Q
USC00477226        2694C
USC00477319        2784R
USC00477349        2382S
USC00477464        2900S
USC00477480        1960S
USC00477576        2827Q
USC00477708        2572C
USC00477725        2717R
USC00477892        2510S
USC00477964        2728Q
USC00477997        2899R
USC00478027        2537S
USC00478110        2584S
USC00478171        2555S
USC00478190        2255Q
USC00478229        2968R
USC00478267        2331S
USC00478316        2843R
USC00478349        1885S
USC00478376        2382R
USC00478540        2773Q
USC00478589        3034S
USC00478672        2039S
USC00478723        2835R
USC00478827        2508S
USC00478905        2007S
USC00478910        2928Q
USC00478919        2832S
USC00478937        2797R
USC00478951        2640S
USC00479046        3176R
USC00479050        2677R
USC00479144        2298R
USC00479190        2903S
USC00479236        2129R
USC00479304        2236R
USC00479319        2753S
USC00479335        2874S
USC00480027        2062R
USC00480080        2928S
USC00480140        1754R
USC00480270        2794R
USC00480484        2499R
USC00480540        2949R
USC00480552        2424S
USC00480603        1854S
USC00480680        2633Q
USC00480740        2611S
USC00480761        2393R
USC00480778        2831S
USC00480865        1799R
USC00480915        2187R
USC00480951        1987R
USC00481000        2965R
USC00481131        2628Q
USC00481165        2538S
USC00481175        2269R
USC00481220        1090R
USC00481284        2255R
USC00481547        2878R
USC00481569        2798Q
USC00481610        1778R
USC00481676        2515Q
USC00481730        2733R
USC00481736        2200R
USC00481775        2673R
USC00481816        2645S
USC00481840        2636S
USC00481850        2579R
USC00481855        2375R
USC00481905        2846S
USC00482054        1723R
USC00482135        1791Q
USC00482242        1677R
USC00482375        1228S
USC00482399        2525Q
USC00482410        2681R
USC00482415        2830R
USC00482466        2661S
USC00482580        2706S
USC00482595        2459R
USC00482680        2281R
USC00482685        2737R
USC00482715        1910R
USC00482725        2989S
USC00482881        2826R
USC00482995        2120R
USC00483031        2620S
USC00483045        2231R
USC00483100        2127R
USC00483396        2146R
USC00483582        2155R
USC00483855        2725S
USC00483936        2796Q
USC00483950        2885R
USC00484065        2751R
USC00484080        2923R
USC00484411        2654R
USC00484442        2352R
USC00484760        2632R
USC00484910        2129S
USC00484925        2365R
USC00485055        2796S
USC00485088        2693R
USC00485105        1853R
USC00485252        2149R
USC00485260        3263R
USC00485345        1188R
USC00485374        2985Q
USC00485392        2606Q
USC00485435        2113R
USC00485506        2900S
USC00485612        2936Q
USC00485770        2641S
USC00485830        2509R
USC00485833        3022Q
USC00486120        2218R
USC00486195        2808R
USC00486428        1913R
USC00486440        1755S
USC00486555        2181R
USC00486595        2645R
USC00486660        3007S
USC00486845        1422S
USC00486852        2941R
USC00487031        1868Q
USC00487105        2577Q
USC00487115        2678R
USC00487200        2774S
USC00487240        2810R
USC00487260        1808S
USC00487376        2598R
USC00487388        2608S
USC00487528        2292Q
USC00487548        2570R
USC00487555        3096S
USC00487760        2779R
USC00487810        2558R
USC00487836        2286Q
USC00487847        2644Q
USC00487885        2664Q
USC00487955        2299R
USC00487990        2363R
USC00488070        2378R
USC00488124        2831R
USC00488160        2719S
USC00488192        1713S
USC00488209        3012Q
USC00488315        1591R
USC00488385        1676R
USC00488626        2134Q
USC00488705        2663R
USC00488758        1868S
USC00488808        2376R
USC00488852        3012S
USC00488858        2495S
USC00488875        3386R
USC00488884        2621Q
USC00488888        2545R
USC00488995        3165R
USC00488997        2690R
USC00489025        1865S
USC00489205        2791S
USC00489208        2191Q
USC00489459        2344R
USC00489467        2265R
USC00489580        2829R
USC00489604        3436R
USC00489615        3204S
USC00489770        2915R
USC00489805        2530R
USC00489902        1619Q
USC00489905        1807R
USC00489925        3350S
USC00500243         823S
USC00500247        1124Q
USC00500275         927R
USC00500281         715Q
USC00500284         798Q
USC00500302         927R
USC00500363         573R
USC00500464        1001S
USC00500490        1336Q
USC00500657        1165R
USC00500707        1155R
USC00500788        1143S
USC00501175        1098Q
USC00501180        1071Q
USC00501220        1040Q
USC00501240         656S
USC00501243         760R
USC00501244         745Q
USC00501466        1242R
USC00501492         806R
USC00501497         276Q
USC00501684        1065R
USC00501926         823R
USC00501987        1192Q
USC00502019        1251R
USC00502107        1265S
USC00502112        1194S
USC00502126         144P
USC00502144         971R
USC00502149        1058S
USC00502173         676R
USC00502227         984R
USC00502339        1202R
USC00502350        1228R
USC00502352        1190R
USC00502457         582R
USC00502568        1277R
USC00502587         390S
USC00502642        1081Q
USC00502645        1022Q
USC00502656        1132R
USC00502707        1282S
USC00502711         382Q
USC00502737        1115Q
USC00502785         544R
USC00502868         853Q
USC00502870        1223Q
USC00502871        1309R
USC00502965        1248R
USC00502970        1343R
USC00503009        1054R
USC00503160         996Q
USC00503163         875R
USC00503181        1182Q
USC00503196        1009Q
USC00503198         926R
USC00503212        1102R
USC00503275        1253R
USC00503294         781R
USC00503299         402S
USC00503304        1073R
USC00503502         961R
USC00503504        1091R
USC00503573         981R
USC00503585        1076R
USC00503672         567S
USC00503682         742R
USC00503695        1004R
USC00503720         905R
USC00503933         888R
USC00504094         926R
USC00504425         625R
USC00504550         777R
USC00504567        1116Q
USC00504621         967R
USC00504812         637S
USC00504971        1297Q
USC00504991         532Q
USC00505051         692R
USC00505136         266S
USC00505397         900R
USC00505464         890R
USC00505516        1464Q
USC00505519         781S
USC00505604         673S
USC00505644        1287Q
USC00505733        1041S
USC00505757        1154R
USC00505778         827R
USC00505880        1017R
USC00505883         887R
USC00505894         965R
USC00506147         756S
USC00506581        1293S
USC00506777        1069R
USC00506853         507R
USC00506870        1167R
USC00507097         700R
USC00507141         765R
USC00507352        1124R
USC00507444        1034R
USC00507502         617Q
USC00507513        1048R
USC00507557         896R
USC00507570         969S
USC00507738         650R
USC00507780         204R
USC00507783         726R
USC00508140        1146R
USC00508183         383R
USC00508375         916R
USC00508377         679R
USC00508409         876Q
USC00508470        1063R
USC00508547         942R
USC00508594         729R
USC00508615         842Q
USC00508625         808R
USC00508884        1068Q
USC00508915        1120S
USC00508945         638R
USC00509313        1305S
USC00509385         992R
USC00509460         812R
USC00509489        1460R
USC00509641        1333S
USC00509685         572Q
USC00509747         748Q
USC00509759        1226R
USC00509790        1130S
USC00509829         722R
USC00509861        1037R
USC00509869         962R
USC00509891        1178Q
USC00509919         998S
USC00510305        9242R
USC00510746        6352Q
USC00511004        2420C
USC00511125        8845R
USC00511303        4331S
USC00511339        8098Q
USC00511918        9303S
USC00512558        7621P
USC00512679        7036R
USC00512751        7242Q
USC00513099        3654R
USC00513113        9064R
USC00513117        9774R
USC00513146        8724Q
USC00513317        9263R
USC00513911        9850R
USC00514459        7687R
USC00514500        8989R
USC00514561        8703Q
USC00515000        5098S
USC00515004        4840S
USC00515011        2596R
USC00515177        9585R
USC00515275        7833R
USC00515710        9191Q
USC00515758        9253R
USC00515842        9053S
USC00515864        9305Q
USC00516128        8292S
USC00516198         952R
USC00516588        8207R
USC00517000        9111R
USC00517131        8504R
USC00517150        8011Q
USC00517166        6856S
USC00517312        7476Q
USC00518055        8783Q
USC00518155        7912Q
USC00518165        8608R
USC00518407        9028R
USC00518422        8681S
USC00518500        7748R
USC00518549        8795Q
USC00518600        8899S
USC00518652        6323R
USC00518830        9574R
USC00518838        7945R
USC00519281        8841Q
USC00519397        9756S
USC00519523        9372S
USC00519603        8819R
USC00519629        9088R
USW00003013        4055R
USW00003016        3079R
USW00003017        3401R
USW00003024        5016R
USW00003026        3458R
USW00003027        3029R
USW00003028        3974R
USW00003029        3128Q
USW00003030        4557R
USW00003031        6069R
USW00003032        6579R
USW00003047        6088Q
USW00003048        4626Q
USW00003054        4699Q
USW00003055        4360Q
USW00003060        1791Q
USW00003061        2400Q
USW00003062        1678Q
USW00003063        3852Q
USW00003067        3910Q
USW00003072        5767Q
USW00003074        5087Q
USW00003102        5661R
USW00003103        2548R
USW00003104        7286S
USW00003122        4825R
USW00003124        5661Q
USW00003125        7868S
USW00003131        5037R
USW00003144        7473R
USW00003145        8150R
USW00003154        5028R
USW00003159        5222R
USW00003160        5319R
USW00003162        4623R
USW00003164        4684S
USW00003166        5670R
USW00003167        5235R
USW00003170        2806R
USW00003171        5814R
USW00003177        4493R
USW00003178        4771R
USW00003179        5368R
USW00003184        7345R
USW00003192        7497Q
USW00003195        2824R
USW00003196        5853R
USW00003728        5980Q
USW00003733        2237Q
USW00003739        4462Q
USW00003749        3351Q
USW00003757        4426Q
USW00003758        4617Q
USW00003759        4024Q
USW00003761        3379Q
USW00003802        3585R
USW00003804        3868R
USW00003809        5042R
USW00003810        4673S
USW00003811        5050S
USW00003812        4056S
USW00003813        6004S
USW00003816        4677S
USW00003818        6707R
USW00003820        5895C
USW00003822        6511C
USW00003841        4740S
USW00003847        4121S
USW00003849        4386S
USW00003853        7436R
USW00003855        6755S
USW00003856        5450C
USW00003859        3826S
USW00003860        4182S
USW00003866        5925S
USW00003868        3786R
USW00003870        5209S
USW00003872        3294S
USW00003878        5984Q
USW00003881        5434S
USW00003882        7138R
USW00003887        3774R
USW00003888        5370R
USW00003889        4287S
USW00003893        3800R
USW00003894        4640Q
USW00003901        6189R
USW00003902        6702Q
USW00003904        7022S
USW00003919        4446S
USW00003927        6360S
USW00003928        4577C
USW00003931        6549Q
USW00003932        5093R
USW00003933        6600Q
USW00003935        4509S
USW00003936        4190R
USW00003937        6998S
USW00003940        6059C
USW00003945        4121S
USW00003947        4194C
USW00003949        6284Q
USW00003950        5639R
USW00003951        6252S
USW00003952        5541S
USW00003953        5011R
USW00003954        5169R
USW00003957        4701R
USW00003959        4924S
USW00003960        4267R
USW00003962        5587R
USW00003963        4370R
USW00003965        5128R
USW00003966        4326R
USW00003967        4210R
USW00003969        5847S
USW00003971        6229R
USW00003974        4489R
USW00003975        4672R
USW00003981        5672R
USW00003991        5931R
USW00003994        4435R
USW00003996        6014R
USW00003997        4263R
USW00003998        4666R
USW00003999        6412R
USW00004109        2877R
USW00004110        2739R
USW00004111        2018R
USW00004112        1668R
USW00004113        3324R
USW00004114        2398R
USW00004125        3127Q
USW00004126        2310Q
USW00004127        2752Q
USW00004128        2424Q
USW00004130        1490Q
USW00004131        1766Q
USW00004134        3742Q
USW00004136        2234Q
USW00004137        1893Q
USW00004138        2739Q
USW00004139        1791Q
USW00004140        1801Q
USW00004141        1841Q
USW00004201        2628R
USW00004222        4372Q
USW00004223        2131Q
USW00004236        2559Q
USW00004237        1866Q
USW00004724        2818Q
USW00004725        2484S
USW00004726        2620R
USW00004751        2255R
USW00004780        3010R
USW00004781        3274S
USW00004787        2624R
USW00004789        3044R
USW00004803        2185R
USW00004804        3563R
USW00004808        3111R
USW00004826        2657R
USW00004836        1660R
USW00004838        3181R
USW00004839        3101R
USW00004840        2861R
USW00004841        2449R
USW00004842        3166R
USW00004843        2795R
USW00004845        2798R
USW00004846        3192R
USW00004847        3067R
USW00004848        3317R
USW00004849        3157R
USW00004850        3428R
USW00004851        3206R
USW00004852        3413R
USW00004853        3490R
USW00004854        2122R
USW00004855        3277R
USW00004857        2904R
USW00004858        3378R
USW00004990        2871Q
USW00004994        2084Q
USW00012812        8405R
USW00012815        8108S
USW00012816        7092S
USW00012818        7470R
USW00012819        7935R
USW00012832        6969S
USW00012833        7069R
USW00012834        7651C
USW00012835        8792R
USW00012836        9966R
USW00012838        8084S
USW00012839        9615S
USW00012841        8258R
USW00012842        8387S
USW00012843        8332R
USW00012844        9071S
USW00012849        9830R
USW00012850       10033S
USW00012854        8059R
USW00012859        9682R
USW00012871        8235R
USW00012873        8461R
USW00012876        8229R
USW00012882        9362R
USW00012883        8322R
USW00012884        7351R
USW00012885        9261R
USW00012888        8841R
USW00012894        8571R
USW00012895        8301R
USW00012896       10066R
USW00012897        8849Q
USW00012904        8370R
USW00012912        7361S
USW00012916        7274S
USW00012917        7092R
USW00012918        7401S
USW00012919        8575S
USW00012921        7163S
USW00012923        7747R
USW00012924        7920S
USW00012925        7979R
USW00012926        8191S
USW00012928        7969S
USW00012930        7455R
USW00012932        7866R
USW00012935        7562S
USW00012944        7330R
USW00012947        7653R
USW00012957        8652R
USW00012958        6953S
USW00012959        8635R
USW00012960        7280S
USW00012962        6959S
USW00012968        7070Q
USW00012970        7218R
USW00012971        6956R
USW00012972        8130R
USW00012975        7204R
USW00012976        7158R
USW00012977        7090Q
USW00012987        8179Q
USW00013301        3721Q
USW00013701        3980R
USW00013702        4781R
USW00013713        5435R
USW00013714        5563R
USW00013721        4366R
USW00013722        5165S
USW00013723        4782C
USW00013724        3719S
USW00013728        4658R
USW00013729        3207S
USW00013733        4104S
USW00013734        3639S
USW00013735        3754C
USW00013736        3618S
USW00013737        4897S
USW00013739        4115C
USW00013740        4756C
USW00013741        4308S
USW00013743        4536S
USW00013744        5808C
USW00013745        5845R
USW00013748        5892C
USW00013750        5125R
USW00013752        4191Q
USW00013754        5683S
USW00013762        4991Q
USW00013764        4156R
USW00013766        5369R
USW00013769        4864S
USW00013773        4396R
USW00013776        5593R
USW00013777        5216R
USW00013779        4302R
USW00013781        3937C
USW00013782        6425S
USW00013786        5046R
USW00013802        4654S
USW00013809        4311R
USW00013810        4484R
USW00013833        6394R
USW00013837        6049R
USW00013838        6692R
USW00013839        6447Q
USW00013841        3555R
USW00013861        6656R
USW00013865        5850S
USW00013866        4159S
USW00013867        4059S
USW00013869        6571R
USW00013870        6617R
USW00013871        5548C
USW00013872        4157C
USW00013873        5480S
USW00013874        5476R
USW00013876        5737S
USW00013877        4151C
USW00013878        6849S
USW00013880        6322S
USW00013881        4943S
USW00013882        5170S
USW00013883        5888C
USW00013884        6370R
USW00013886        5010R
USW00013889        7000S
USW00013891        4842S
USW00013893        5694C
USW00013894        6668C
USW00013895        6135S
USW00013896        5335S
USW00013897        4937C
USW00013899        6828S
USW00013904        6676R
USW00013911        6502R
USW00013920        4167R
USW00013927        6156R
USW00013932        4724R
USW00013935        6330R
USW00013939        5718Q
USW00013942        6250S
USW00013957        6247C
USW00013958        7055S
USW00013959        6472S
USW00013960        6567S
USW00013961        6225R
USW00013962        6022S
USW00013963        5608S
USW00013964        5420C
USW00013966        5752S
USW00013967        5374S
USW00013968        5266C
USW00013969        4946R
USW00013970        6961S
USW00013971        4592R
USW00013972        6158R
USW00013973        6308R
USW00013975        4764S
USW00013976        7146S
USW00013977        5824R
USW00013978        5810S
USW00013980        4644S
USW00013981        4546S
USW00013984        4059C
USW00013985        4319S
USW00013986        4443R
USW00013987        4843C
USW00013988        4566S
USW00013989        4344R
USW00013991        4060R
USW00013993        4051R
USW00013994        4594S
USW00013995        4406S
USW00013996        4304S
USW00013997        4173R
USW00014605        2434S
USW00014606        2339R
USW00014607        1880C
USW00014609        2002S
USW00014610        2172R
USW00014611        2410R
USW00014702        3037R
USW00014707        2822R
USW00014710        2974R
USW00014711        3652R
USW00014712        3544R
USW00014717        2680R
USW00014719        2912R
USW00014732        3910C
USW00014733        2814S
USW00014734        3879S
USW00014735        2937S
USW00014736        2964S
USW00014737        3330S
USW00014739        3083C
USW00014740        3252C
USW00014742        2644S
USW00014743        2483S
USW00014745        2729C
USW00014747        2873R
USW00014748        2739R
USW00014750        2537C
USW00014751        3632R
USW00014752        3311R
USW00014753        2873S
USW00014754        2397R
USW00014755         260S
USW00014756        2381R
USW00014757        3183S
USW00014758        3290Q
USW00014761        2502R
USW00014762        3373R
USW00014763        2398R
USW00014764        2408C
USW00014765        3230C
USW00014768        2822S
USW00014770        3459R
USW00014771        2903C
USW00014775        2935R
USW00014777        2989S
USW00014778        3194S
USW00014787        2927R
USW00014790        3323R
USW00014792        3640R
USW00014793        3779R
USW00014794        2825R
USW00014804        2792S
USW00014806        3761S
USW00014813        3175R
USW00014814        2203S
USW00014815        3005S
USW00014817        2354S
USW00014819        3535C
USW00014820        3343S
USW00014821        3784S
USW00014822        3202S
USW00014824        1920R
USW00014825        3372C
USW00014826        2824S
USW00014827        3368C
USW00014828        2654S
USW00014829        3124R
USW00014833        2969S
USW00014835        3670S
USW00014836        2957C
USW00014837        2839C
USW00014838        2017S
USW00014839        2806S
USW00014840        2818C
USW00014841        2167C
USW00014842        3692S
USW00014845        2790S
USW00014846        3348S
USW00014847        1957C
USW00014848        3224S
USW00014850        2477S
USW00014852        2960C
USW00014853        3004R
USW00014855        3321R
USW00014858        1821R
USW00014859        1972R
USW00014860        3016S
USW00014880        2788R
USW00014891        3104S
USW00014892        3640R
USW00014894        3321R
USW00014895        3122S
USW00014897        2474C
USW00014898        2464C
USW00014910        2524S
USW00014912        2446R
USW00014913        1915S
USW00014914        2672C
USW00014916        2397S
USW00014918        1991S
USW00014919        2507S
USW00014920        3133S
USW00014921        2951R
USW00014922        3012S
USW00014923        3596S
USW00014924        2151S
USW00014925        2826C
USW00014926        2609C
USW00014927        3099R
USW00014929        2710S
USW00014931        3939R
USW00014933        3659S
USW00014935        3642C
USW00014936        3063C
USW00014937        3472R
USW00014938        3600R
USW00014939        3837C
USW00014940        2937C
USW00014941        3447C
USW00014942        3741S
USW00014943        3397S
USW00014944        3004S
USW00014945        3680R
USW00014946        2638S
USW00014950        3515S
USW00014971        3791R
USW00014972        3080R
USW00014990        3221S
USW00014991        2809S
USW00014992        2947C
USW00014995        2587S
USW00021504        8699C
USW00021510       10134R
USW00021514         860Q
USW00021515        7536Q
USW00022010        7312S
USW00022016        6353Q
USW00022501        9307R
USW00022514        9738R
USW00022516        9294S
USW00022519        9477R
USW00022521        9935S
USW00022534        8910S
USW00022536        9413C
USW00022551        9542R
USW00023007        5578C
USW00023009        5289R
USW00023023        5883C
USW00023034        6240S
USW00023040        6174S
USW00023041        5964S
USW00023042        5264S
USW00023044        5942S
USW00023047        4626S
USW00023048        4743R
USW00023049        3523R
USW00023050        4340S
USW00023051        3946R
USW00023052        3239R
USW00023054        2996S
USW00023055        4805R
USW00023058        5887S
USW00023061        2501S
USW00023062        3335S
USW00023063        2472R
USW00023064        4182S
USW00023065        3632C
USW00023066        3695S
USW00023067        4104S
USW00023070        3684S
USW00023072        5029S
USW00023078        5249R
USW00023081        3342S
USW00023090        3722R
USW00023091        6393R
USW00023110        4917S
USW00023129        5528R
USW00023130        5597R
USW00023136        4353R
USW00023152        5475S
USW00023153        3506S
USW00023154        2697C
USW00023155        5670R
USW00023156        5199R
USW00023157        4332S
USW00023158        7571S
USW00023159        2138R
USW00023160        6832S
USW00023161        6216S
USW00023162        3360R
USW00023169        6695S
USW00023170        4212R
USW00023174        4719C
USW00023176        3463R
USW00023177        3478R
USW00023179        7718S
USW00023182        5127R
USW00023183        8013S
USW00023184        4122S
USW00023185        3567S
USW00023187        3703S
USW00023188        5077S
USW00023190        3938R
USW00023191        3990R
USW00023194        4360S
USW00023195        8133R
USW00023199        7644Q
USW00023213        3838R
USW00023225        2730R
USW00023230        3300R
USW00023232        4519R
USW00023233        3580S
USW00023234        3338S
USW00023237        4688S
USW00023239        3946R
USW00023244        4184R
USW00023254        4367R
USW00023257        4693R
USW00023258        5179R
USW00023259        2847R
USW00023271        4846S
USW00023272        2948R
USW00023273        3636S
USW00023275        4102R
USW00023277        3463R
USW00023285        4217R
USW00023293        4602R
USW00023801        5876Q
USW00023802        5827Q
USW00023803        4933Q
USW00023904        4570Q
USW00023906        7326Q
USW00023907        6396Q
USW00023908        4368Q
USW00023909        3951Q
USW00024011        2660S
USW00024012        2465S
USW00024013        2457S
USW00024015        3274S
USW00024017        3177R
USW00024018        2552S
USW00024020        3398S
USW00024021        2648S
USW00024022        2005S
USW00024023        3374S
USW00024024        3190R
USW00024025        3156S
USW00024027        2311S
USW00024028        3266R
USW00024029        2663C
USW00024030        3407R
USW00024032        3265S
USW00024033        2854C
USW00024036        2152S
USW00024037        2902S
USW00024044        3016R
USW00024046        2522R
USW00024048        2914R
USW00024057        2250S
USW00024061        2644R
USW00024062        2825S
USW00024088        2554R
USW00024089        2665S
USW00024090        2959S
USW00024091        3556R
USW00024110        3057R
USW00024112        2835Q
USW00024119        3454R
USW00024120        2816S
USW00024121        2846S
USW00024126        3297R
USW00024127        3551S
USW00024128        3145C
USW00024130        2367S
USW00024131        3309C
USW00024132        2643R
USW00024133        2612S
USW00024135        1943S
USW00024137        2033S
USW00024138        2158R
USW00024139        2365S
USW00024141        3157S
USW00024143        2350C
USW00024144        2547S
USW00024145        2473R
USW00024148        2715Q
USW00024149        3151S
USW00024150        2366S
USW00024151        2742R
USW00024152        1825R
USW00024153        2425S
USW00024154        1128R
USW00024155        3071C
USW00024156        2646S
USW00024157        2480C
USW00024159        2635S
USW00024160        3279R
USW00024162        3317R
USW00024163        3423R
USW00024164        1941R
USW00024172        3773R
USW00024193        3486S
USW00024213        1918S
USW00024215        2863R
USW00024216        4957S
USW00024217        1888S
USW00024219        3371R
USW00024220        2970R
USW00024221        2698S
USW00024222        1916R
USW00024225        3527R
USW00024227        2243C
USW00024229        2944S
USW00024230        2622R
USW00024231        3150R
USW00024232        2775S
USW00024233        2354C
USW00024234        2477R
USW00024235        2069R
USW00024237        1160R
USW00024241        2517R
USW00024242        2797R
USW00024243        2988S
USW00024255        1527S
USW00024257        4904R
USW00024259        3096R
USW00024281        2554R
USW00024283        1669R
USW00024284        1718S
USW00024285        1717R
USW00024286        1532R
USW00025308        1084C
USW00025309         874S
USW00025322         872R
USW00025323         919R
USW00025325         987R
USW00025329         913R
USW00025331        1001R
USW00025333         802S
USW00025335         896R
USW00025339         633S
USW00025367        1040R
USW00025501         576S
USW00025503         784C
USW00025506         679S
USW00025507         616S
USW00025516         587R
